StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-05-12T08:41:18.482161842Z,240,ee94e941_qps_1000_c_8_1024_none_both,8,1000,1.523,1.845,2.22,2.916
2020-05-12T05:16:33.310507314Z,240,0d114faa_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.28,0.349,0.459,0.97
2020-05-12T05:44:44.285777399Z,240,0d114faa_qps_1000_c_16_1024_v2-nullvm_both,16,1000,3.145,3.752,4.182,4.626
2020-05-12T08:24:34.822307819Z,240,ee94e941_qps_1000_c_2_1024_none_both,2,1000,0.858,0.99,1.247,1.864
2020-05-12T07:08:58.300741026Z,240,04b3e10f_qps_1000_c_4_1024_mixer_both,4,1000,1.554,1.901,3.317,3.946
2020-05-12T08:57:25.63687244Z,240,ee94e941_qps_1000_c_32_1024_none_both,32,1000,3.96,4.851,5.818,6.005
2020-05-12T07:21:02.641429174Z,240,04b3e10f_qps_1000_c_16_1024_mixer_baseline,16,1000,0.497,0.631,1.05,1.707
2020-05-12T05:52:47.470014384Z,240,0d114faa_qps_1000_c_32_1024_v2-nullvm_both,32,1000,4.698,5.943,6.912,7.699
2020-05-12T07:00:55.174447726Z,240,04b3e10f_qps_1000_c_2_1024_mixer_both,2,1000,1.231,1.497,2.83,4.654
2020-05-12T05:40:42.856958588Z,240,0d114faa_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.521,0.666,1.022,1.713
2020-05-12T05:28:37.93377893Z,240,0d114faa_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.269,1.493,1.748,2.217
2020-05-12T08:20:33.747355453Z,240,ee94e941_qps_1000_c_2_1024_none_baseline,2,1000,0.29,0.369,0.485,1.074
2020-05-12T05:24:35.988162761Z,240,0d114faa_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.346,0.435,0.549,1.201
2020-05-12T07:33:08.820875956Z,240,04b3e10f_qps_1000_c_32_1024_mixer_both,32,1000,6.382,8.45,9.963,12.226
2020-05-12T06:56:54.037939524Z,240,04b3e10f_qps_1000_c_2_1024_mixer_baseline,2,1000,0.28,0.349,0.457,1.128
2020-05-12T06:00:49.944314249Z,240,0d114faa_qps_1000_c_64_1024_v2-nullvm_both,64,1000,8.969,11.739,12.699,14.843
2020-05-12T07:37:09.96354376Z,240,04b3e10f_qps_1000_c_64_1024_mixer_baseline,64,1000,0.78,1.229,2.839,3.916
2020-05-12T05:48:45.405114441Z,240,0d114faa_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,0.622,0.816,1.733,2.347
2020-05-12T05:56:48.670605098Z,240,0d114faa_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,0.766,1.222,2.835,4.656
2020-05-12T05:36:40.976111109Z,240,0d114faa_qps_1000_c_8_1024_v2-nullvm_both,8,1000,1.817,2.202,2.489,2.99
2020-05-12T07:04:56.365041205Z,240,04b3e10f_qps_1000_c_4_1024_mixer_baseline,4,1000,0.392,0.498,0.656,1.205
2020-05-12T05:32:39.046271549Z,240,0d114faa_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.423,0.523,0.69,1.284
2020-05-12T08:28:36.178801576Z,240,ee94e941_qps_1000_c_4_1024_none_baseline,4,1000,0.346,0.436,0.555,1.218
2020-05-12T07:17:00.601929371Z,240,04b3e10f_qps_1000_c_8_1024_mixer_both,8,1000,1.983,2.519,4.383,5.867
2020-05-12T07:25:03.801621106Z,240,04b3e10f_qps_1000_c_16_1024_mixer_both,16,1000,3.501,4.601,6.143,7.186
2020-05-12T09:01:27.616760506Z,240,ee94e941_qps_1000_c_64_1024_none_baseline,64,1000,0.791,1.237,2.803,3.84
2020-05-12T08:49:22.576386576Z,240,ee94e941_qps_1000_c_16_1024_none_both,16,1000,2.503,2.953,3.443,3.932
2020-05-12T08:32:41.838081927Z,240,ee94e941_qps_1000_c_4_1024_none_both,4,1000,1.061,1.236,1.492,2
2020-05-12T08:53:23.725572033Z,240,ee94e941_qps_1000_c_32_1024_none_baseline,32,1000,0.662,0.866,1.81,2.71
2020-05-12T07:29:06.963588135Z,240,04b3e10f_qps_1000_c_32_1024_mixer_baseline,32,1000,0.633,0.817,1.732,2.456
2020-05-12T05:20:34.61627586Z,240,0d114faa_qps_1000_c_2_1024_v2-nullvm_both,2,1000,0.989,1.207,1.427,1.84
2020-05-12T07:12:59.491481968Z,240,04b3e10f_qps_1000_c_8_1024_mixer_baseline,8,1000,0.439,0.555,0.738,1.342
2020-05-12T07:41:11.176548577Z,240,04b3e10f_qps_1000_c_64_1024_mixer_both,64,1000,10.184,13.609,14.987,17.281
2020-05-12T08:45:20.46557936Z,240,ee94e941_qps_1000_c_16_1024_none_baseline,16,1000,0.563,0.698,1.083,1.738
2020-05-12T08:37:17.32241359Z,240,ee94e941_qps_1000_c_8_1024_none_baseline,8,1000,0.422,0.523,0.687,1.331
2020-05-12T09:05:29.137020158Z,240,ee94e941_qps_1000_c_64_1024_none_both,64,1000,6.501,8.007,8.981,9.913
