StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-05-06T07:15:20.144359879Z,240,bb3a7d85_qps_1000_c_64_1024_none_baseline,64,1000,1.064,1.665,2.8,4.404
2020-05-06T05:48:51.519134628Z,240,b7aae145_qps_1000_c_8_1024_mixer_baseline,8,1000,0.525,0.659,0.892,3.145
2020-05-06T06:55:12.487431854Z,240,bb3a7d85_qps_1000_c_8_1024_none_both,8,1000,1.856,2.246,2.945,6.67
2020-05-06T06:13:01.052692271Z,240,b7aae145_qps_1000_c_64_1024_mixer_baseline,64,1000,1.043,1.636,2.773,4.125
2020-05-06T06:43:07.978166217Z,240,bb3a7d85_qps_1000_c_4_1024_none_baseline,4,1000,0.385,0.481,0.658,2.952
2020-05-06T05:01:14.763040196Z,240,7cdbc13e_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,1.063,1.663,2.897,4.864
2020-05-06T04:57:13.619317848Z,240,7cdbc13e_qps_1000_c_32_1024_v2-nullvm_both,32,1000,6.577,7.944,9.289,12.287
2020-05-06T06:39:06.618369099Z,240,bb3a7d85_qps_1000_c_2_1024_none_both,2,1000,0.98,1.201,1.486,4.365
2020-05-06T07:07:16.742243237Z,240,bb3a7d85_qps_1000_c_32_1024_none_baseline,32,1000,0.769,1.113,1.865,3.484
2020-05-06T06:59:14.453101782Z,240,bb3a7d85_qps_1000_c_16_1024_none_baseline,16,1000,0.615,0.79,1.236,2.786
2020-05-06T05:05:16.863906368Z,240,7cdbc13e_qps_1000_c_64_1024_v2-nullvm_both,64,1000,11.347,14.452,16.824,19.492
2020-05-06T05:52:54.139015315Z,240,b7aae145_qps_1000_c_8_1024_mixer_both,8,1000,3.077,3.988,5.752,9.0
2020-05-06T06:08:59.730505604Z,240,b7aae145_qps_1000_c_32_1024_mixer_both,32,1000,7.337,9.511,12.161,14.579
2020-05-06T05:56:55.248922051Z,240,b7aae145_qps_1000_c_16_1024_mixer_baseline,16,1000,0.624,0.796,1.235,3.45
2020-05-06T04:45:09.098260493Z,240,7cdbc13e_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.655,0.844,1.328,3.178
2020-05-06T04:20:54.80730951Z,240,7cdbc13e_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.353,0.432,0.554,2.784
2020-05-06T04:53:12.297723008Z,240,7cdbc13e_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,0.774,1.119,1.851,3.425
2020-05-06T04:28:58.211899451Z,240,7cdbc13e_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.463,0.573,0.771,3.386
2020-05-06T04:33:03.896548503Z,240,7cdbc13e_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.707,2.037,2.516,6.62
2020-05-06T07:19:22.096269153Z,240,bb3a7d85_qps_1000_c_64_1024_none_both,64,1000,8.292,10.715,12.429,14.988
2020-05-06T04:41:07.959353182Z,240,7cdbc13e_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2.677,3.249,3.905,7.588
2020-05-06T06:00:56.541235272Z,240,b7aae145_qps_1000_c_16_1024_mixer_both,16,1000,4.504,5.916,7.593,10.504
2020-05-06T07:03:15.588798589Z,240,bb3a7d85_qps_1000_c_16_1024_none_both,16,1000,3.033,3.772,4.516,7.538
2020-05-06T06:51:11.168674022Z,240,bb3a7d85_qps_1000_c_8_1024_none_baseline,8,1000,0.51,0.642,0.866,3.309
2020-05-06T06:35:03.215002998Z,240,bb3a7d85_qps_1000_c_2_1024_none_baseline,2,1000,0.319,0.396,0.536,2.507
2020-05-06T04:49:10.27734631Z,240,7cdbc13e_qps_1000_c_16_1024_v2-nullvm_both,16,1000,4.134,4.942,5.948,8.74
2020-05-06T06:17:03.118276175Z,240,b7aae145_qps_1000_c_64_1024_mixer_both,64,1000,12.934,16.791,19.64,22.34
2020-05-06T06:04:58.512093567Z,240,b7aae145_qps_1000_c_32_1024_mixer_baseline,32,1000,0.773,1.121,1.93,3.3
2020-05-06T05:36:46.899136211Z,240,b7aae145_qps_1000_c_2_1024_mixer_both,2,1000,1.319,1.494,4.619,6.73
2020-05-06T07:11:18.924604261Z,240,bb3a7d85_qps_1000_c_32_1024_none_both,32,1000,4.912,5.996,7.362,10.257
2020-05-06T04:24:56.282497518Z,240,7cdbc13e_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1.27,1.488,1.911,4.744
2020-05-06T04:37:05.05517294Z,240,7cdbc13e_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.586,0.716,0.991,3.46
2020-05-06T06:47:09.955310567Z,240,bb3a7d85_qps_1000_c_4_1024_none_both,4,1000,1.349,1.634,2.055,5.967
2020-05-06T05:40:49.097739884Z,240,b7aae145_qps_1000_c_4_1024_mixer_baseline,4,1000,0.431,0.533,0.72,3.365
2020-05-06T05:44:50.424318188Z,240,b7aae145_qps_1000_c_4_1024_mixer_both,4,1000,1.638,1.991,3.612,6.465
2020-05-06T05:32:41.787797839Z,240,b7aae145_qps_1000_c_2_1024_mixer_baseline,2,1000,0.334,0.409,0.549,2.474
