StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-04-02T07:28:41.962165636Z,240,a6e04fb6_qps_1000_c_64_1024_v2-nullvm_base,64,1000,0.941,2.815,4.213,6.4
2020-04-02T09:03:01.294955021Z,240,4589599e_qps_1000_c_16_1024_none_base,16,1000,0.575,0.763,1.472,2.178
2020-04-02T08:54:58.214464388Z,240,4589599e_qps_1000_c_8_1024_none_base,8,1000,0.497,0.637,0.895,1.659
2020-04-02T07:42:57.935503671Z,240,01b641c4_qps_1000_c_2_1024_mixer_both,2,1000,1.294,1.681,3.86,4.85
2020-04-02T07:24:40.682484038Z,240,a6e04fb6_qps_1000_c_64_1024_v2-nullvm_both,64,1000,17.053,19.842,22.303,24.599
2020-04-02T07:20:38.558312888Z,240,a6e04fb6_qps_1000_c_32_1024_v2-nullvm_base,32,1000,0.731,1.633,2.877,3.94
2020-04-02T07:16:37.243628817Z,240,a6e04fb6_qps_1000_c_32_1024_v2-nullvm_both,32,1000,9.222,11.425,12.423,13.36
2020-04-02T09:19:06.91212452Z,240,4589599e_qps_1000_c_64_1024_none_base,64,1000,0.973,2.88,4.331,5.956
2020-04-02T08:42:53.325256499Z,240,4589599e_qps_1000_c_4_1024_none_both,4,1000,1.489,1.844,2.159,2.673
2020-04-02T08:03:07.202252548Z,240,01b641c4_qps_1000_c_8_1024_mixer_base,8,1000,0.506,0.664,0.946,1.658
2020-04-02T07:55:02.535139126Z,240,01b641c4_qps_1000_c_4_1024_mixer_base,4,1000,0.426,0.543,0.777,1.418
2020-04-02T07:46:59.071992847Z,240,01b641c4_qps_1000_c_2_1024_mixer_base,2,1000,0.335,0.43,0.658,1.163
2020-04-02T07:59:03.664805439Z,240,01b641c4_qps_1000_c_8_1024_mixer_both,8,1000,3.41,4.385,6.989,8.096
2020-04-02T09:07:02.557395694Z,240,4589599e_qps_1000_c_32_1024_none_both,32,1000,6.105,6.988,7.967,8.965
2020-04-02T08:11:09.567917355Z,240,01b641c4_qps_1000_c_16_1024_mixer_base,16,1000,0.625,0.833,1.58,2.372
2020-04-02T06:48:26.189199494Z,240,a6e04fb6_qps_1000_c_2_1024_v2-nullvm_base,2,1000,0.339,0.427,0.633,0.99
2020-04-02T07:51:01.328715194Z,240,01b641c4_qps_1000_c_4_1024_mixer_both,4,1000,1.967,2.445,4.853,5.909
2020-04-02T08:23:14.233836809Z,240,01b641c4_qps_1000_c_64_1024_mixer_both,64,1000,18.909,22.724,24.935,27.929
2020-04-02T08:07:08.34828109Z,240,01b641c4_qps_1000_c_16_1024_mixer_both,16,1000,5.612,7.942,9.791,11.405
2020-04-02T07:12:36.065683777Z,240,a6e04fb6_qps_1000_c_16_1024_v2-nullvm_base,16,1000,0.605,0.797,1.426,2.248
2020-04-02T08:27:16.392920701Z,240,01b641c4_qps_1000_c_64_1024_mixer_base,64,1000,0.92,2.741,4.087,5.884
2020-04-02T08:34:47.318074145Z,240,4589599e_qps_1000_c_2_1024_none_both,2,1000,1.093,1.291,1.5,1.996
2020-04-02T08:58:59.426170746Z,240,4589599e_qps_1000_c_16_1024_none_both,16,1000,3.56,4.161,4.778,5.692
2020-04-02T08:50:57.076324344Z,240,4589599e_qps_1000_c_8_1024_none_both,8,1000,2.146,2.556,2.998,3.511
2020-04-02T09:15:05.676061409Z,240,4589599e_qps_1000_c_64_1024_none_both,64,1000,11.213,13.963,14.985,18.089
2020-04-02T06:44:24.191338046Z,240,a6e04fb6_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1.186,1.443,1.683,2.0
2020-04-02T08:46:54.511240458Z,240,4589599e_qps_1000_c_4_1024_none_base,4,1000,0.401,0.515,0.739,1.452
2020-04-02T07:08:34.117327378Z,240,a6e04fb6_qps_1000_c_16_1024_v2-nullvm_both,16,1000,5.142,5.871,6.674,6.994
2020-04-02T07:04:32.919802389Z,240,a6e04fb6_qps_1000_c_8_1024_v2-nullvm_base,8,1000,0.518,0.666,0.919,1.5
2020-04-02T06:52:27.490426256Z,240,a6e04fb6_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.674,1.993,2.377,2.938
2020-04-02T09:11:03.653395177Z,240,4589599e_qps_1000_c_32_1024_none_base,32,1000,0.749,1.672,2.999,4.14
2020-04-02T08:38:49.699865117Z,240,4589599e_qps_1000_c_2_1024_none_base,2,1000,0.339,0.435,0.659,1.168
2020-04-02T07:00:30.884624859Z,240,a6e04fb6_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2.883,3.416,3.918,4.441
2020-04-02T06:56:28.629442873Z,240,a6e04fb6_qps_1000_c_4_1024_v2-nullvm_base,4,1000,0.39,0.499,0.696,1.254
2020-04-02T08:19:12.772001205Z,240,01b641c4_qps_1000_c_32_1024_mixer_base,32,1000,0.73,1.634,2.939,4.269
2020-04-02T08:15:11.652474037Z,240,01b641c4_qps_1000_c_32_1024_mixer_both,32,1000,10.129,13.381,14.937,17.191
