StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-04-30T04:07:54.945442536Z,240,Nighthawk e349c94c_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.295,0.333,0.401,0.72
2020-04-30T05:52:48.941289113Z,240,Nighthawk 941d93f6_qps_1000_c_64_1024_mixer_both,64,1000,0.898,1.095,2.534,2.924
2020-04-30T03:59:39.294649111Z,240,Nighthawk e349c94c_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.222,0.27,0.323,0.386
2020-04-30T05:40:33.254160158Z,240,Nighthawk 941d93f6_qps_1000_c_32_1024_mixer_baseline,32,1000,0.312,0.363,0.436,0.679
2020-04-30T06:41:19.104351439Z,240,Nighthawk 37813819_qps_1000_c_32_1024_none_baseline,32,1000,0.361,0.391,0.478,0.718
2020-04-30T05:36:25.895541841Z,240,Nighthawk 941d93f6_qps_1000_c_16_1024_mixer_both,16,1000,0.875,1.048,2.347,3.102
2020-04-30T04:40:36.999860465Z,240,Nighthawk e349c94c_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,0.304,0.35,0.426,0.715
2020-04-30T04:03:45.635510591Z,240,Nighthawk e349c94c_qps_1000_c_2_1024_v2-nullvm_both,2,1000,0.766,0.869,1.015,1.374
2020-04-30T05:32:15.750677372Z,240,Nighthawk 941d93f6_qps_1000_c_16_1024_mixer_baseline,16,1000,0.293,0.347,0.425,0.541
2020-04-30T06:33:08.342206959Z,240,Nighthawk 37813819_qps_1000_c_16_1024_none_baseline,16,1000,0.339,0.381,0.458,0.75
2020-04-30T05:24:05.242547972Z,240,Nighthawk 941d93f6_qps_1000_c_8_1024_mixer_baseline,8,1000,0.27,0.341,0.437,0.686
2020-04-30T04:32:26.211000413Z,240,Nighthawk e349c94c_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,0.322,0.367,0.438,0.739
2020-04-30T05:15:15.707970233Z,240,Nighthawk 941d93f6_qps_1000_c_4_1024_mixer_baseline,4,1000,0.269,0.331,0.412,0.534
2020-04-30T04:11:59.906488021Z,240,Nighthawk e349c94c_qps_1000_c_4_1024_v2-nullvm_both,4,1000,0.847,0.992,1.178,1.649
2020-04-30T05:19:58.095081458Z,240,Nighthawk 941d93f6_qps_1000_c_4_1024_mixer_both,4,1000,0.936,1.079,2.316,2.714
2020-04-30T06:28:57.823438899Z,240,Nighthawk 37813819_qps_1000_c_8_1024_none_both,8,1000,0.729,0.868,1.052,1.334
2020-04-30T06:37:14.078844425Z,240,Nighthawk 37813819_qps_1000_c_16_1024_none_both,16,1000,0.835,0.972,1.228,1.56
2020-04-30T04:16:05.676612888Z,240,Nighthawk e349c94c_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.298,0.348,0.429,0.604
2020-04-30T04:44:43.260576632Z,240,Nighthawk e349c94c_qps_1000_c_64_1024_v2-nullvm_both,64,1000,0.822,0.94,1.143,1.456
2020-04-30T06:15:35.137148890Z,240,Nighthawk 37813819_qps_1000_c_4_1024_none_baseline,4,1000,0.299,0.35,0.424,0.638
2020-04-30T06:49:29.937517323Z,240,Nighthawk 37813819_qps_1000_c_64_1024_none_baseline,64,1000,0.333,0.386,0.555,0.765
2020-04-30T05:04:16.056850811Z,240,Nighthawk 941d93f6_qps_1000_c_2_1024_mixer_baseline,2,1000,0.259,0.31,0.381,0.465
2020-04-30T06:24:49.307103526Z,240,Nighthawk 37813819_qps_1000_c_8_1024_none_baseline,8,1000,0.342,0.381,0.428,0.584
2020-04-30T06:11:20.928475543Z,240,Nighthawk 37813819_qps_1000_c_2_1024_none_both,2,1000,0.798,0.903,1.028,1.513
2020-04-30T04:24:15.426597941Z,240,Nighthawk e349c94c_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.309,0.361,0.442,0.725
2020-04-30T04:36:31.233964824Z,240,Nighthawk e349c94c_qps_1000_c_32_1024_v2-nullvm_both,32,1000,0.842,0.947,1.152,1.456
2020-04-30T05:48:43.940085237Z,240,Nighthawk 941d93f6_qps_1000_c_64_1024_mixer_baseline,64,1000,0.311,0.362,0.445,0.611
2020-04-30T06:53:35.499743298Z,240,Nighthawk 37813819_qps_1000_c_64_1024_none_both,64,1000,0.766,0.884,1.072,1.342
2020-04-30T05:44:38.379416420Z,240,Nighthawk 941d93f6_qps_1000_c_32_1024_mixer_both,32,1000,0.923,1.127,2.45,3.276
2020-04-30T06:06:37.172281992Z,240,Nighthawk 37813819_qps_1000_c_2_1024_none_baseline,2,1000,0.267,0.314,0.369,0.551
2020-04-30T06:45:24.015134922Z,240,Nighthawk 37813819_qps_1000_c_32_1024_none_both,32,1000,0.761,0.884,1.1,1.348
2020-04-30T05:28:10.889141069Z,240,Nighthawk 941d93f6_qps_1000_c_8_1024_mixer_both,8,1000,0.868,1.005,2.268,2.864
2020-04-30T04:20:10.487376625Z,240,Nighthawk e349c94c_qps_1000_c_8_1024_v2-nullvm_both,8,1000,0.835,0.974,1.176,1.47
2020-04-30T05:10:30.584078069Z,240,Nighthawk 941d93f6_qps_1000_c_2_1024_mixer_both,2,990,0.888,1.037,3.172,3.748
2020-04-30T06:20:17.890247763Z,240,Nighthawk 37813819_qps_1000_c_4_1024_none_both,4,1000,0.787,0.895,1.022,1.481
2020-04-30T04:28:21.209514697Z,240,Nighthawk e349c94c_qps_1000_c_16_1024_v2-nullvm_both,16,1000,0.839,0.968,1.185,1.467
