StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-05-04T02:06:18.715243326Z,240,Nighthawk f272e329_qps_1000_c_2_1024_none_baseline,2,1000,0.292,0.366,0.542,0.711
2020-05-04T01:10:10.629007076Z,240,Nighthawk 7bcd6481_qps_1000_c_2_1024_mixer_both,2,989,1.371,1.543,2.871,4.683
2020-05-04T02:14:47.777266695Z,240,Nighthawk f272e329_qps_1000_c_4_1024_none_baseline,4,1000,0.434,0.556,0.833,0.988
2020-05-04T02:22:58.790150477Z,240,Nighthawk f272e329_qps_1000_c_8_1024_none_baseline,8,1000,0.759,0.936,1.168,1.389
2020-05-04T02:35:16.160695095Z,240,Nighthawk f272e329_qps_1000_c_16_1024_none_both,16,1000,2.99,3.557,4.073,4.52
2020-05-04T02:48:57.104022670Z,240,Nighthawk f272e329_qps_1000_c_64_1024_none_baseline,64,1000,2.446,2.893,3.163,3.463
2020-05-04T00:38:54.323349912Z,240,Nighthawk 524d2841_qps_1000_c_32_1024_v2-nullvm_both,32,1000,5.929,6.903,7.721,8.419
2020-05-04T00:10:11.539325118Z,240,Nighthawk 524d2841_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.358,0.514,0.723,0.794
2020-05-04T02:10:42.256473015Z,240,Nighthawk f272e329_qps_1000_c_2_1024_none_both,2,1000,0.868,1.004,1.159,1.626
2020-05-04T01:18:22.440464099Z,240,Nighthawk 7bcd6481_qps_1000_c_4_1024_mixer_both,4,1000,1.312,1.563,2.748,4.085
2020-05-04T01:30:39.456370548Z,240,Nighthawk 7bcd6481_qps_1000_c_16_1024_mixer_baseline,16,1000,0.591,0.794,1.016,1.227
2020-05-04T00:18:22.856193232Z,240,Nighthawk 524d2841_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.573,0.685,0.879,1.046
2020-05-04T00:06:06.297172008Z,240,Nighthawk 524d2841_qps_1000_c_2_1024_v2-nullvm_both,2,1000,0.876,0.98,1.122,1.54
2020-05-04T01:39:01.858159908Z,240,Nighthawk 7bcd6481_qps_1000_c_32_1024_mixer_baseline,32,1000,1.825,1.996,2.132,2.44
2020-05-04T02:18:53.603687617Z,240,Nighthawk f272e329_qps_1000_c_4_1024_none_both,4,1000,1.295,1.538,1.824,2.247
2020-05-04T01:14:17.003284852Z,240,Nighthawk 7bcd6481_qps_1000_c_4_1024_mixer_baseline,4,1000,0.346,0.474,0.717,0.953
2020-05-04T01:06:05.428407573Z,240,Nighthawk 7bcd6481_qps_1000_c_2_1024_mixer_baseline,2,1000,0.312,0.379,0.516,0.69
2020-05-04T01:22:28.697349326Z,240,Nighthawk 7bcd6481_qps_1000_c_8_1024_mixer_baseline,8,1000,0.413,0.52,0.745,0.866
2020-05-04T00:47:08.161672767Z,240,Nighthawk 524d2841_qps_1000_c_64_1024_v2-nullvm_both,64,1000,9.467,12.124,14.26,15.978
2020-05-04T00:34:48.502994029Z,240,Nighthawk 524d2841_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,1.807,1.995,2.154,2.603
2020-05-04T00:22:31.805251939Z,240,Nighthawk 524d2841_qps_1000_c_8_1024_v2-nullvm_both,8,1000,1.965,2.282,2.576,2.857
2020-05-04T01:48:13.493574698Z,240,Nighthawk 7bcd6481_qps_1000_c_64_1024_mixer_baseline,64,1000,1.125,1.34,1.577,2.059
2020-05-04T00:26:37.125039635Z,240,Nighthawk 524d2841_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.588,0.816,1.031,1.237
2020-05-04T00:43:01.838485031Z,240,Nighthawk 524d2841_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,1.119,1.308,1.499,1.753
2020-05-04T01:26:34.395422528Z,240,Nighthawk 7bcd6481_qps_1000_c_8_1024_mixer_both,8,1000,2.013,2.449,4.12,5.325
2020-05-04T02:31:11.103867988Z,240,Nighthawk f272e329_qps_1000_c_16_1024_none_baseline,16,1000,1.098,1.275,1.44,1.763
2020-05-04T01:54:15.235750704Z,240,Nighthawk 7bcd6481_qps_1000_c_64_1024_mixer_both,64,1000,12.559,15.337,18.083,20.225
2020-05-04T00:30:42.954635924Z,240,Nighthawk 524d2841_qps_1000_c_16_1024_v2-nullvm_both,16,1000,2.839,3.341,3.866,4.287
2020-05-04T02:27:04.889405276Z,240,Nighthawk f272e329_qps_1000_c_8_1024_none_both,8,1000,1.586,1.998,2.363,2.754
2020-05-04T02:39:26.983174221Z,240,Nighthawk f272e329_qps_1000_c_32_1024_none_baseline,32,1000,1.925,2.077,2.25,2.761
2020-05-04T01:43:07.859369530Z,240,Nighthawk 7bcd6481_qps_1000_c_32_1024_mixer_both,32,1000,6.057,7.989,9.647,11.299
2020-05-04T00:01:49.225634346Z,240,Nighthawk 524d2841_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.282,0.368,0.491,0.613
2020-05-04T02:54:06.076899271Z,240,Nighthawk f272e329_qps_1000_c_64_1024_none_both,64,1000,8.229,9.782,11.393,12.523
2020-05-04T02:43:32.716778121Z,240,Nighthawk f272e329_qps_1000_c_32_1024_none_both,32,1000,4.312,5.119,5.941,6.543
2020-05-04T00:14:16.808110217Z,240,Nighthawk 524d2841_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.366,1.593,1.821,2.168
