StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,p99.9
2020-05-01T01:46:18.743520727Z,240,Nighthawk 65993d08_qps_1000_c_2_1024_none_baseline,2,1000,0.315,0.38,0.54,0.704
2020-05-01T02:27:19.185524757Z,240,Nighthawk 65993d08_qps_1000_c_64_1024_none_baseline,64,1000,2.611,3.154,3.536,4.325
2020-05-01T02:10:52.504886042Z,240,Nighthawk 65993d08_qps_1000_c_16_1024_none_baseline,16,1000,0.736,0.985,1.24,1.524
2020-05-01T00:26:10.786871625Z,240,Nighthawk b9a095e1_qps_1000_c_32_1024_v2-nullvm_both,32,1000,4.764,5.98,7.326,8.264
2020-05-01T00:05:38.296832300Z,240,Nighthawk b9a095e1_qps_1000_c_8_1024_v2-nullvm_baseline,8,1000,0.441,0.555,0.848,0.999
2020-05-01T00:09:43.337918245Z,240,Nighthawk b9a095e1_qps_1000_c_8_1024_v2-nullvm_both,8,1000,2.22,2.518,2.892,3.331
2020-05-01T01:16:15.115385447Z,240,Nighthawk 48a4e631_qps_1000_c_16_1024_mixer_both,16,1000,3.499,4.596,5.691,6.723
2020-05-01T02:23:13.322536272Z,240,Nighthawk 65993d08_qps_1000_c_32_1024_none_both,32,1000,4.635,5.699,6.849,7.647
2020-05-01T01:24:28.672559363Z,240,Nighthawk 48a4e631_qps_1000_c_32_1024_mixer_both,32,1000,6.84,8.991,11.041,12.515
2020-04-30T23:53:21.385048979Z,240,Nighthawk b9a095e1_qps_1000_c_2_1024_v2-nullvm_both,2,1000,1.145,1.304,1.523,1.998
2020-05-01T01:12:08.950057374Z,240,Nighthawk 48a4e631_qps_1000_c_16_1024_mixer_baseline,16,1000,0.984,1.157,1.384,1.622
2020-05-01T01:54:30.747698983Z,240,Nighthawk 65993d08_qps_1000_c_4_1024_none_baseline,4,1000,0.323,0.476,0.707,0.822
2020-05-01T00:22:05.051925371Z,240,Nighthawk b9a095e1_qps_1000_c_32_1024_v2-nullvm_baseline,32,1000,1.538,1.849,2.08,2.443
2020-05-01T02:14:59.675242880Z,240,Nighthawk 65993d08_qps_1000_c_16_1024_none_both,16,1000,2.908,3.509,4.172,4.617
2020-05-01T00:51:38.264780952Z,240,Nighthawk 48a4e631_qps_1000_c_2_1024_mixer_both,2,994,1.193,1.424,3.593,4.004
2020-04-30T23:49:15.971628671Z,240,Nighthawk b9a095e1_qps_1000_c_2_1024_v2-nullvm_baseline,2,1000,0.284,0.393,0.586,0.732
2020-05-01T00:47:32.015861624Z,240,Nighthawk 48a4e631_qps_1000_c_2_1024_mixer_baseline,2,1000,0.283,0.395,0.58,0.719
2020-05-01T00:30:15.913428910Z,240,Nighthawk b9a095e1_qps_1000_c_64_1024_v2-nullvm_baseline,64,1000,1.178,1.448,1.882,2.307
2020-05-01T01:32:39.954461768Z,240,Nighthawk 48a4e631_qps_1000_c_64_1024_mixer_both,64,1000,11.466,14.567,16.888,18.639
2020-05-01T02:06:47.246537876Z,240,Nighthawk 65993d08_qps_1000_c_8_1024_none_both,8,1000,1.816,2.292,2.692,3.04
2020-05-01T01:28:34.645825764Z,240,Nighthawk 48a4e631_qps_1000_c_64_1024_mixer_baseline,64,1000,1.192,1.444,1.868,2.341
2020-05-01T02:31:26.019539695Z,240,Nighthawk 65993d08_qps_1000_c_64_1024_none_both,64,1000,8.937,10.604,12.282,13.831
2020-05-01T01:58:36.052171868Z,240,Nighthawk 65993d08_qps_1000_c_4_1024_none_both,4,1000,1.333,1.522,1.838,2.325
2020-05-01T02:02:41.955219826Z,240,Nighthawk 65993d08_qps_1000_c_8_1024_none_baseline,8,1000,0.418,0.61,0.834,0.912
2020-05-01T00:17:59.803024517Z,240,Nighthawk b9a095e1_qps_1000_c_16_1024_v2-nullvm_both,16,1000,2.926,3.359,3.838,4.271
2020-05-01T01:08:03.771729260Z,240,Nighthawk 48a4e631_qps_1000_c_8_1024_mixer_both,8,1000,2.197,2.73,3.858,4.879
2020-05-01T00:55:44.761849497Z,240,Nighthawk 48a4e631_qps_1000_c_4_1024_mixer_baseline,4,1000,0.418,0.551,0.796,0.97
2020-05-01T01:03:58.779535033Z,240,Nighthawk 48a4e631_qps_1000_c_8_1024_mixer_baseline,8,1000,0.643,0.794,0.993,1.266
2020-05-01T01:20:23.472445354Z,240,Nighthawk 48a4e631_qps_1000_c_32_1024_mixer_baseline,32,1000,1.009,1.401,1.747,2.269
2020-05-01T00:13:49.587578380Z,240,Nighthawk b9a095e1_qps_1000_c_16_1024_v2-nullvm_baseline,16,1000,0.61,0.884,1.062,1.275
2020-05-01T00:34:22.115781778Z,240,Nighthawk b9a095e1_qps_1000_c_64_1024_v2-nullvm_both,64,1000,10.1,12.619,14.837,16.594
2020-05-01T00:01:33.055063296Z,240,Nighthawk b9a095e1_qps_1000_c_4_1024_v2-nullvm_both,4,1000,1.443,1.623,1.875,2.236
2020-05-01T00:59:52.696661325Z,240,Nighthawk 48a4e631_qps_1000_c_4_1024_mixer_both,4,1000,1.572,1.846,2.939,3.341
2020-04-30T23:57:26.969455368Z,240,Nighthawk b9a095e1_qps_1000_c_4_1024_v2-nullvm_baseline,4,1000,0.432,0.577,0.803,0.925
2020-05-01T02:19:04.815896219Z,240,Nighthawk 65993d08_qps_1000_c_32_1024_none_baseline,32,1000,0.942,1.152,1.522,1.913
2020-05-01T01:50:24.666441823Z,240,Nighthawk 65993d08_qps_1000_c_2_1024_none_both,2,1000,0.824,0.934,1.091,1.465
